endereco;area;quartos;wc;vagas;valor;condominio;wlink
Rua 8, 754 - Setor Central, Goiânia - GO;74;3;1;1;R$ 179.000;R$ 381;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-central-bairros-goiania-com-garagem-74m2-venda-RS179000-id-2574931683/
Rua 22, Quadra G-10 - Setor Oeste, Goiânia - GO;219;4;6;4;Sob Consulta;;https://www.vivareal.com.br//imoveis-lancamento/maestro-residenza-219m-2557188121/
Avenida T 4, 1278 - Setor Bueno, Goiânia - GO;118;4;5;2;R$ 730.000;R$ 606;https://www.vivareal.com.br//imovel/apartamento-4-quartos-setor-bueno-bairros-goiania-com-garagem-118m2-venda-RS730000-id-2572784993/
Rua T 29, 634 - Setor Bueno, Goiânia - GO;127;3;4;3;R$ 800.000;R$ 1.000;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-bueno-bairros-goiania-com-garagem-127m2-venda-RS800000-id-2575673982/
Avenida T 13, 786 - Setor Bueno, Goiânia - GO;112;3;2;2;R$ 550.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-bueno-bairros-goiania-com-garagem-112m2-venda-RS550000-id-2569319991/
Rua 227, 360 - Setor Leste Universitário, Goiânia - GO;57;2;1;1;R$ 265.000;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-leste-universitario-bairros-goiania-com-garagem-57m2-venda-RS265000-id-2572878781/
Rua T 27, 133 - Setor Bueno, Goiânia - GO;105;3;4;2;R$ 630.000;R$ 630;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-bueno-bairros-goiania-com-garagem-105m2-venda-RS630000-id-2574161587/
Rua 14, 601 - Jardim Goiás, Goiânia - GO;91;3;3;2;R$ 750.000;R$ 440;https://www.vivareal.com.br//imovel/apartamento-3-quartos-jardim-goias-bairros-goiania-com-garagem-91m2-venda-RS750000-id-2556662669/
Rua 22, Quadra G-10 - Setor Oeste, Goiânia - GO;135;2-3;5;2;Sob Consulta;;https://www.vivareal.com.br//imoveis-lancamento/maestro-residenza-135m-2557184022/
Avenida dos Alpes, 144 - Vila Alpes, Goiânia - GO;65;2;2;2;R$ 335.000;R$ 400;https://www.vivareal.com.br//imovel/apartamento-2-quartos-vila-alpes-bairros-goiania-com-garagem-65m2-venda-RS335000-id-2574340384/
Alameda Fleury Curado, 264 - Setor Faiçalville, Goiânia - GO;51;2;2;1;R$ 235.000;R$ 300;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-faicalville-bairros-goiania-com-garagem-51m2-venda-RS235000-id-2573043519/
Rua T 30, 2078 - Setor Bueno, Goiânia - GO;72;2;2;2;R$ 710.000;R$ 490;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bueno-bairros-goiania-com-garagem-72m2-venda-RS710000-id-2567957521/
